ID	Order	Title	ID	Location	Size (Sq. Ft)	Role	Worksheet Role	Designed By	Worksheet Designed By	Architecture by	Worksheet Architecture	Categories	Permalink	Image Featured	Slug
537	11	West 23rd St. Townhouse	537	Chelsea	2200	General Contractor + Millwork	#N/A	Tersigni Palachek Design	#N/A	Tersigni Palachek Design	#N/A	Residential	https://www.streamlineusa.com/residential/west-23rd-townhouse-2/	http://www.streamlineusa.com/wp-content/uploads/2019/12/W23-Featured.jpg.png	west-23rd-townhouse-2
549	11	Gunter-Seeger	549	West Village	3300	General Contractor + Millwork	General Contractor + Millwork	AWI Interiors	AWI Interiors			Commercial	https://www.streamlineusa.com/commercial/gunter-seeger/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Gunter-3.jpg	gunter-seeger
2850	12	Hudson Yards Mall	2850	Hudson Yards	3500	General Contractor	#N/A	Robert Jaimeson design	#N/A		#N/A	Commercial	https://www.streamlineusa.com/commercial/hudson-yards-mall/	http://www.streamlineusa.com/wp-content/uploads/2022/02/20210222_HudsonYardsMall-0087-scaled.jpg	hudson-yards-mall
2860	12	Wyckoff Townhouse	2860	Boerum Hill	4500	General Contractor	#N/A	Current Interiors, Rachel Kane, and Xandro Aventajado	#N/A		#N/A	Residential	https://www.streamlineusa.com/residential/wyckoff-townhouse/	http://www.streamlineusa.com/wp-content/uploads/2022/02/20211202_118WyckoffSt-0964-scaled.jpg	wyckoff-townhouse
443	13	Mint Kitchen Restaurant	443	West Village	4000	General Contractor	#N/A	Creme	#N/A	MZA Architecture	#N/A	Commercial	https://www.streamlineusa.com/commercial/mint-kitchen-restaurant/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-11-scaled.jpg	mint-kitchen-restaurant
523	13	Madison Ave Duplex	523	Murray Hill	3400	General Contractor + Millwork	#N/A	Lynch Eisinger Design	#N/A		#N/A	Residential	https://www.streamlineusa.com/residential/madison-ave-duplex-2/	http://www.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Residential-_-215-Madision-_-Residence-3.425x3.jpg	madison-ave-duplex-2
494	14	ViVVI Daycare Tribeca	494	Tribeca	10000	General Contractor	General Contractor	eleven of eleven architecture	eleven of eleven architecture			Commercial	https://www.streamlineusa.com/commercial/vivvi-daycare-tribeca/	http://www.streamlineusa.com/wp-content/uploads/2019/12/11OF11-VIVVI-F.OUDEMAN11-scaled.jpg	vivvi-daycare-tribeca
520	14	Tribeca Loft	520	Tribeca	2500	Millwork + Finishes	#N/A	Bore	#N/A		#N/A	Residential	https://www.streamlineusa.com/residential/tribeca-loft/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Tribeca-Loft-Featured-scaled.jpg	tribeca-loft
540	15	e63rd st Penthouse	540	Lenox Hill	1700	General Contractor + Millwork	#N/A	Jennifer Aderholdt Design	#N/A	SWA Architecture	#N/A	Residential	https://www.streamlineusa.com/residential/e63-st-penthouse/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Upper-East-Side-Penthouse-Featured.jpg	e63-st-penthouse
2853	15	Vivvi Daycare Hudson Yards	2853	Hudson Yards	7500	General Contractor	General Contractor	Eleven of Eleven design	Eleven of Eleven design	Carol Gretter Elven of Eleven architecture	Carol Gretter Elven of Eleven architecture	Commercial	https://www.streamlineusa.com/commercial/vivvi-daycare-hudson-yards/	http://www.streamlineusa.com/wp-content/uploads/2022/02/20210219_55HudsonYards-5373-scaled.jpg	vivvi-daycare-hudson-yards
2396	16	84th st townhouse	2396	Jackson Heights	2200	General Contractor	#N/A	Nathalie Akiya Design	#N/A	SWA Architecture	#N/A	Residential	https://www.streamlineusa.com/residential/84th-st-townhouse/	http://www.streamlineusa.com/wp-content/uploads/2020/05/Jackson-Heights-Featured.png	84th-st-townhouse
2520	16	Haus Nightclub	2520	Lower Manhattan	5500	General Contractor	#N/A	John Rawlins Design	#N/A	SWA Architecture	#N/A	Commercial	https://www.streamlineusa.com/commercial/haus-nightclub/	http://www.streamlineusa.com/wp-content/uploads/2020/07/Haus-Featured.jpg	haus-nightclub
1907	17	Sullivan St duplex	1907	SOHO	6000	Millwork + Finishes	#N/A	Butter and Eggs Design	#N/A	Michael Tower Architecture	#N/A	Residential	https://www.streamlineusa.com/residential/sullivan-st-duplex-2/	http://www.streamlineusa.com/wp-content/uploads/2020/02/DSC_0847-scaled.jpg	sullivan-st-duplex-2
1931	18	Mackage SoHo	1931	SoHo	4500	General Contractor	#N/A	Burdifilek	#N/A		#N/A	Commercial	https://www.streamlineusa.com/commercial/mackage-soho/	http://www.streamlineusa.com/wp-content/uploads/2020/02/IMG_8648-scaled.jpg	mackage-soho
2409	18	Upper West Side Apartment	2409	Upper West Side	1400	General Contractor	#N/A	Yael and Ori Morag	#N/A	MZA Architecture	#N/A	Residential	https://www.streamlineusa.com/residential/upper-west-side-apartment/	http://www.streamlineusa.com/wp-content/uploads/2020/05/Upper-West-Side-Apt-Featured.jpg	upper-west-side-apartment
